SKU;Catégorie;Nom du produit;Coût d’achat ($);Prix de vente ($);Marge brute (%);Quantité en stock;Seuil de réapprovisionnement;Stock minimum de sécurité;Délai de livraison (jours);Fournisseur;Code fournisseur;Remise fournisseur (%);Poids (kg);Date d’entrée en stock;Emplacement entrepôt;Statut produit
NC-TNT-001;Tentes & abris;Tente légère 2 places; 145,00  $ ; 299,00  $ ;51,50%;18;5;3;10;AventureX;AX-001;5;2,8;2025-03-02;A1;Actif
NC-TNT-002;Tentes & abris;Tente familiale 6 places; 260,00  $ ; 499,00  $ ;47,90%;9;3;2;14;AventureX;AX-002;5;6,5;2025-02-18;A1;Actif
NC-TNT-003;Tentes & abris;Toile imperméable 3x3 m; 25,00  $ ; 59,00  $ ;57,60%;25;8;5;7;TrekSupply;TS-001;4;1,1;2025-03-10;A2;Actif
NC-TNT-004;Tentes & abris;Tapis de sol isolant; 18,00  $ ; 39,00  $ ;53,80%;40;10;6;6;MontNord;MN-001;3;0,9;2025-03-05;A2;Actif
NC-TNT-005;Tentes & abris;Abri cuisine pliable; 75,00  $ ; 149,00  $ ;49,70%;12;4;3;9;AventureX;AX-003;5;5;2025-02-20;A1;Actif
NC-TNT-006;Tentes & abris;Mât télescopique alu; 12,00  $ ; 29,00  $ ;58,60%;30;10;6;5;TrekSupply;TS-002;4;0,7;2025-03-08;A3;Actif
NC-SAC-001;Sacs & portage;Sac à dos 50 L étanche; 65,00  $ ; 139,00  $ ;53,20%;20;6;4;8;NordPack;NP-001;6;1,3;2025-03-12;B1;Actif
NC-SAC-002;Sacs & portage;Sac de jour 25 L; 32,00  $ ; 79,00  $ ;59,50%;25;8;5;7;NordPack;NP-002;6;0,9;2025-03-10;B2;Actif
NC-SAC-003;Sacs & portage;Sac de couchage -10°C; 80,00  $ ; 169,00  $ ;52,70%;15;5;3;10;MontNord;MN-002;3;2,2;2025-02-25;B3;Actif
NC-SAC-004;Sacs & portage;Tapis autogonflant; 25,00  $ ; 59,00  $ ;57,60%;35;10;5;6;MontNord;MN-003;3;1,1;2025-03-05;B3;Actif
NC-SAC-005;Sacs & portage;Housse imperméable sac à dos; 9,00  $ ; 19,00  $ ;52,60%;40;10;6;5;TrekSupply;TS-003;4;0,4;2025-03-11;B2;Actif
NC-SAC-006;Sacs & portage;Bâtons de marche carbone; 35,00  $ ; 79,00  $ ;55,70%;18;5;3;9;TrekSupply;TS-004;4;0,8;2025-02-28;B1;Actif
NC-VET-001;Vêtements techniques;Chandail thermique homme; 22,00  $ ; 59,00  $ ;62,70%;50;15;10;6;NordWear;NW-001;5;0,6;2025-03-09;C1;Actif
NC-VET-002;Vêtements techniques;Chandail thermique femme; 22,00  $ ; 59,00  $ ;62,70%;48;15;10;6;NordWear;NW-002;5;0,6;2025-03-09;C1;Actif
NC-VET-003;Vêtements techniques;Pantalon de randonnée homme; 38,00  $ ; 89,00  $ ;57,30%;30;8;4;8;NordWear;NW-003;5;0,8;2025-03-03;C2;Actif
NC-VET-004;Vêtements techniques;Pantalon de randonnée femme; 38,00  $ ; 89,00  $ ;57,30%;32;8;4;8;NordWear;NW-004;5;0,8;2025-03-03;C2;Actif
NC-VET-005;Vêtements techniques;Manteau coupe-vent; 55,00  $ ; 129,00  $ ;57,40%;20;5;3;10;ArcticLine;AL-001;4;1,1;2025-02-19;C3;Actif
NC-VET-006;Vêtements techniques;Tuque en laine mérinos; 10,00  $ ; 29,00  $ ;65,50%;40;10;6;5;ArcticLine;AL-002;4;0,3;2025-03-10;C4;Actif
NC-VET-007;Vêtements techniques;Gants isolants Hiver+; 18,00  $ ; 45,00  $ ;60,00%;25;8;4;6;ArcticLine;AL-003;4;0,5;2025-02-22;C4;Actif
NC-ACC-001;Accessoires & cuisine;Réchaud portatif; 25,00  $ ; 59,00  $ ;57,60%;20;5;3;7;TrekSupply;TS-005;4;0,9;2025-02-28;D1;Actif
NC-ACC-002;Accessoires & cuisine;Bouteille isotherme 1L; 12,00  $ ; 29,00  $ ;58,60%;40;12;8;5;MontNord;MN-004;3;0,4;2025-03-10;D2;Actif
NC-ACC-003;Accessoires & cuisine;Lampe frontale 300 lumens; 14,00  $ ; 39,00  $ ;64,10%;35;10;6;6;AventureX;AX-004;5;0,2;2025-03-12;D3;Actif
NC-ACC-004;Accessoires & cuisine;Ensemble vaisselle 4 pers.; 20,00  $ ; 49,00  $ ;59,20%;25;8;5;7;TrekSupply;TS-006;4;1,2;2025-03-06;D2;Actif
NC-ACC-005;Accessoires & cuisine;Filtre à eau compact; 28,00  $ ; 69,00  $ ;59,40%;18;5;3;8;AventureX;AX-005;5;0,7;2025-02-25;D3;Actif
NC-ACC-006;Accessoires & cuisine;Couteau multifonction; 15,00  $ ; 39,00  $ ;61,50%;28;10;6;6;NordPack;NP-003;6;0,5;2025-03-09;D4;Actif
NC-ELE-001;Électronique & navigation;Montre GPS plein air; 120,00  $ ; 279,00  $ ;56,90%;10;3;2;12;TechTrail;TT-001;4;0,9;2025-02-17;E1;Actif
NC-ELE-002;Électronique & navigation;Chargeur solaire 20W; 35,00  $ ; 79,00  $ ;55,70%;18;5;3;8;TechTrail;TT-002;4;0,6;2025-03-01;E2;Actif
NC-ELE-003;Électronique & navigation;Boussole de précision; 9,00  $ ; 24,00  $ ;62,50%;40;12;8;5;TrekSupply;TS-007;4;0,2;2025-03-11;E3;Actif
